Ticker                      Company   Market_Cap       EBIT           EV       EV_EBIT
     A     AGILENT TECHNOLOGIES INC   41427.7834   1649.000   43181.7834     26.186649
    AA                   ALCOA CORP   13981.2403   1266.000   15115.2403     11.939368
   AAL  AMERICAN AIRLINES GROUP INC   10122.4143   1629.000   40435.4143     24.822231
  AAME       ATLANTIC AMERICAN CORP      31.4160     -1.845      36.4810    -19.772900
  AAMI ACADIAN ASSET MANAGEMENT INC    1678.3230    131.100    1823.1230     13.906354
  AAOI  APPLIED OPTOELECTRONICS INC    2614.4303    -45.211    2646.4773    -58.536137
  AAON                     AAON INC    6228.9388    146.244    6652.3458     45.487991
   AAP       ADVANCE AUTO PARTS INC    2358.0000    202.000    4894.0000     24.227723
  AAPL                    APPLE INC 3761715.1938 133050.000 3819395.1938     28.706465
   AAT    AMERICAN ASSETS TRUST INC    1162.1316    105.784    2739.1536     25.893836
    AB ALLIANCEBERNSTEIN HOLDING LP    3547.2403    332.756    3547.2403     10.660184
  ABBV                   ABBVIE INC  403941.9872  20973.000  467063.9872     22.269775
  ABCB               AMERIS BANCORP    5051.9939    710.665    4706.0909      6.622095
  ABEO      ABEONA THERAPEUTICS INC     290.0766    -89.448     123.6406     -1.382262
   ABG  ASBURY AUTOMOTIVE GROUP INC    4471.3194   1007.000   10533.8194     10.460595
   ABM           ABM INDUSTRIES INC    2587.6110    347.800    4176.9110     12.009520
  ABNB                   AIRBNB INC   81703.4400   2545.000   72935.4400     28.658326
   ABR       ARBOR REALTY TRUST INC    1517.0179    889.255   12041.2009     13.540774
   ABT          ABBOTT LABORATORIES  217578.4887   8559.000  222775.4887     26.028215
  ABTC        AMERICAN BITCOIN CORP    1657.7822      9.368    1842.3552    196.664731
   ACA                   ARCOSA INC    5209.6800    342.200    6577.6800     19.221742
  ACAD   ACADIA PHARMACEUTICALS INC    4548.9534    104.811    3781.4544     36.078793
  ACCO             ACCO BRANDS CORP     336.2073    107.100    1192.6073     11.135456
  ACCS          ACCESS NEWSWIRE INC      35.8050     -0.821      36.0530    -43.913520
  ACEL      ACCEL ENTERTAINMENT INC     938.8947    119.726    1258.9757     10.515475
  ACET               ADICET BIO INC      80.7225   -122.114     -63.0695      0.516481
  ACFN             ACORN ENERGY INC      37.8255      1.989      34.4135     17.301911
   ACH          ACCENDRA HEALTH INC     213.8864    147.907    2095.3624     14.166756
  ACHC     ACADIA HEALTHCARE CO INC    1283.5281    387.965    3805.1781      9.808045
  ACHV    ACHIEVE LIFE SCIENCES INC     264.5730    -54.880     243.1240     -4.430102
   ACI           ALBERTSONS COS INC   12107.2997   1896.700   25955.1997     13.684399
  ACIC AMERICAN COASTAL INSURA CORP     615.9020    146.623     405.8550      2.768017
  ACIW            ACI WORLDWIDE INC    4910.6607    338.814    5563.2717     16.419840
  ACLS     AXCELIS TECHNOLOGIES INC    2467.8038    138.338    2165.3518     15.652618
   ACM                        AECOM   17193.5975   1058.864   18969.7625     17.915202
  ACMR             ACM RESEARCH INC    2588.3934    109.429    1718.2244     15.701728
  ACNB                    ACNB CORP     501.4862     72.514     760.4052     10.486323
  ACNT         ASCENT INDUSTRIES CO     152.2022     -6.709     108.3762    -16.153853
   ACR ACRES COMMERCIAL REALTY CORP     146.9686    100.645    1651.8906     16.413042
  ACRE  ARES COMMERCIAL REAL ESTATE     263.0243     63.371    1243.3243     19.619768
  ACRS     ACLARIS THERAPEUTICS INC     362.7020    -74.075     274.0670     -3.699858
   ACT           ENACT HOLDINGS INC    5637.1648    909.606    5806.9828      6.384064
  ACTG         ACACIA RESEARCH CORP     360.8165      6.409     104.4675     16.300125
   ACU             ACME UNITED CORP     153.4602     14.725     178.5812     12.127756
  ACVA             ACV AUCTIONS INC    1388.8956    -42.977    1354.4026    -31.514592
    AD ARRAY DIG INFRASTRUCTURE INC    4631.6956    -49.230    5717.7866   -116.144355
  ADAM             ADAMAS TRUST INC     659.2192    262.021   11325.1772     43.222403
  ADBE                    ADOBE INC  132213.6900   8706.000  132266.6900     15.192590
   ADC            AGREE REALTY CORP    8645.6168    335.009   11943.0018     35.649794
  ADEA                    ADEIA INC    1880.2328    184.357    2171.2438     11.777387
   ADI           ANALOG DEVICES INC  114642.6910   3002.476  119938.8840     39.946659
  ADIL        ADIAL PHARMACEUTICALS       6.1105     -7.800       0.2295     -0.029423
   ADM    ARCHER-DANIELS-MIDLAND CO   27595.2000   1444.000   27874.2000     19.303463
  ADMA           ADMA BIOLOGICS INC    4338.8218    197.658    4331.0768     21.911973
   ADP    AUTOMATIC DATA PROCESSING  124994.5200   5411.900  126353.5200     23.347349
  ADPT        ADAPTIVE BIOTECH CORP    2497.3710    -57.123    2480.7470    -43.428164
  ADSK                 AUTODESK INC   66626.7600   1416.000   67287.7600     47.519605
   ADT                      ADT INC    6616.9642   1334.069   14296.1892     10.716229
  ADTN          ADTRAN HOLDINGS INC     694.5569    -15.312     815.8169    -53.279578
  ADUS          ADDUS HOMECARE CORP    1988.6480    134.515    2078.3930     15.451013
   ADV      ADVANTAGE SOLUTIONS INC     287.2584     76.413    1740.2674     22.774494
   AEE                  AMEREN CORP   27601.3040   2026.000   47431.3040     23.411305
  AEHR            AEHR TEST SYSTEMS     285.0266     -3.612     271.3276    -75.118383
   AEI                    ALSET INC     133.8022    -10.791      95.7082     -8.869261
  AEIS     ADVANCED ENERGY INDS INC    7914.1860    206.200    7801.7860     37.836014
  AEMD          AETHLON MEDICAL INC       7.4042     -9.341       2.5532     -0.273333
   AEO   AMERN EAGLE OUTFITTERS INC    3044.2945    444.864    4166.1935      9.365095
   AEP   AMERICAN ELECTRIC POWER CO   62366.6819   5167.600  111541.6819     21.584813
   AES               AES CORP (THE)   10212.9767   2024.000   38908.9767     19.223803
  AEYE                 AUDIOEYE INC     123.7062      0.038     131.6182   3463.636842
  AFBI      AFFINITY BANCSHARES INC     124.7851     17.664     125.8461      7.124440
   AFG AMERICAN FINANCIAL GROUP INC   11402.1190   1096.000   10994.1190     10.031130
   AFL                    AFLAC INC   57195.9463   4980.000   56211.9463     11.287539
  AGCO                    AGCO CORP    7576.6573    720.300    9331.6573     12.955237
  AGEN                   AGENUS INC     110.9048    -20.556     442.8058    -21.541438
  AGIG ABUNDIA GLOBAL IMPACT GRP IN      73.0976    -14.439      78.8686     -5.462193
  AGIO        AGIOS PHARMACEUTICALS    1590.9818   -462.132     776.7638     -1.680827
   AGM   FEDERAL AGRICULTURE MTG CP    1861.8511   1477.224   29698.2021     20.104061
  AGNC         AGNC INVESTMENT CORP   11873.9866   5600.000   95473.9866     17.048926
  AGPU              AXE COMPUTE INC      29.1935    -28.425      20.0685     -0.706016
   AGX                    ARGAN INC    1865.1312     88.195    1345.2922     15.253611
  AGYS                 AGILYSYS INC    2032.2806     28.063    2006.2016     71.489206
  AHCO             ADAPTHEALTH CORP    1349.0820    220.966    3145.7460     14.236335
  AHRT          AH REALTY TRUST INC     530.7055     79.157    2129.1595     26.897931
   AHT    ASHFORD HOSPITALITY TRUST      27.5878      1.976    2700.0518   1366.422976
