(costat) Active/Inactive Status Marker,(curcd) ISO Currency Code,(datafmt) Data Format,(indfmt) Industry Format,(consol) Level of Consolidation - Company Annual Descriptor,(tic) Ticker Symbol,(datadate) Data Date,(gvkey) Global Company Key,(conm) Company Name,(cusip) CUSIP,(exchg) Stock Exchange Code,(fyr) Fiscal Year-end Month,(fic) Current ISO Country Code - Incorporation,(act) Current Assets - Total,(at) Assets - Total,(che) Cash and Short-Term Investments,(dlc) Debt in Current Liabilities - Total,(dltt) Long-Term Debt - Total,(lct) Current Liabilities - Total,(lt) Liabilities - Total,"(ppegt) Property, Plant and Equipment - Total (Gross)",(re) Retained Earnings,(rect) Receivables - Total,(seq) Stockholders Equity - Parent,(txp) Income Taxes Payable,(cogs) Cost of Goods Sold,(dp) Depreciation and Amortization,(ebit) Earnings Before Interest and Taxes,(gp) Gross Profit (Loss),(ni) Net Income (Loss),(oiadp) Operating Income After Depreciation,(sale) Sales/Turnover (Net),(txt) Income Taxes - Total,"(xsga) Selling, General and Administrative Expense",(capx) Capital Expenditures,(fincf) Financing Activities - Net Cash Flow,(oancf) Operating Activities - Net Cash Flow,(csho) Common Shares Outstanding,(mkvalt) Market Value - Total - Fiscal,(prcc_f) Price Close - Annual - Fiscal,EV,EV/EBIT
A,USD,STD,INDL,C,AIR,31/05/11,1004,AAR CORP,000361105,11,5.0,USA,913.985,1703.727,57.433,114.075,329.802,416.01,868.438,652.862,467.485,296.489,835.845,0.0,1408.071,59.296,137.016,367.711,69.826,137.016,1775.782,35.364,171.399,124.879,-11.827,108.598,39.781,1049.8206,26.39,1436.2646000000002,10.482458982892512
A,USD,STD,INDL,C,AIR,31/05/17,1004,AAR CORP,000361105,11,5.0,USA,888.5,1504.1,10.3,2.0,155.3,335.1,589.9,775.4,688.0,251.4,914.2,12.3,1422.7,71.0,77.2,344.9,56.5,77.2,1767.6,24.1,196.7,33.6,-12.1,21.8,34.354,1200.3288,34.94,1347.3288,17.452445595854922
A,USD,STD,INDL,C,AIR,31/05/18,1004,AAR CORP,000361105,11,5.0,USA,942.7,1524.7,41.6,0.0,177.2,333.3,588.4,531.0,701.2,203.0,936.3,0.0,1413.2,40.5,86.0,335.1,15.6,86.0,1748.3,3.5,208.6,22.0,10.0,64.3,34.716,1551.458,44.69,1687.0580000000002,19.616953488372097
A,USD,STD,INDL,C,AIR,31/05/19,1004,AAR CORP,000361105,11,5.0,USA,952.5,1517.2,41.1,0.0,141.7,357.5,611.3,580.6,668.9,258.1,905.9,0.0,1679.5,42.8,110.7,372.3,7.5,110.7,2051.8,4.9,218.8,17.4,-48.7,67.4,34.788,1046.7709,30.09,1147.3709000000001,10.364687443541102
A,USD,STD,INDL,C,AIR,31/05/21,1004,AAR CORP,000361105,11,5.0,USA,937.0,1539.7,60.2,11.5,193.6,336.8,565.3,640.3,723.4,238.6,974.4,0.7,1364.6,36.3,65.5,286.8,35.8,65.5,1651.4,18.2,185.0,11.3,-469.5,105.2,35.375,1476.9063,41.75,1621.8063,24.76040152671756
A,USD,STD,INDL,C,AIR,31/05/22,1004,AAR CORP,000361105,11,5.0,USA,1007.2,1573.9,58.9,11.1,156.3,348.2,539.4,607.5,800.8,290.3,1034.5,0.0,1470.3,33.1,116.2,346.8,78.7,116.2,1817.1,26.6,197.5,17.3,-59.8,75.2,35.391,1706.554,48.22,1815.0539999999999,15.620086058519792
A,USD,STD,INDL,C,AIR,31/05/23,1004,AAR CORP,000361105,11,5.0,USA,1097.9,1833.1,81.8,12.3,317.9,351.5,734.0,636.7,887.1,335.0,1099.1,0.0,1591.3,27.9,151.4,399.3,90.2,151.4,1990.6,31.4,220.0,29.5,137.7,23.3,34.916,1749.6408,50.11,1998.0408,13.197099075297226
A,USD,STD,INDL,C,AIR,31/05/24,1004,AAR CORP,000361105,11,5.0,USA,1389.6,2770.0,96.1,13.2,1065.7,466.9,1580.2,714.6,948.1,423.6,1189.8,0.0,1835.4,41.2,174.4,485.8,46.3,174.4,2321.2,12.0,270.2,29.7,729.2,43.6,35.694,2533.9171,70.99,3516.7171000000003,20.164662270642204
A,USD,STD,INDL,C,AIR,31/05/25,1004,AAR CORP,000361105,11,5.0,USA,1510.6,2844.6,109.2,12.3,1047.6,554.7,1633.0,702.9,963.8,500.7,1211.6,0.0,2183.9,55.2,234.1,583.1,12.5,234.1,2767.0,26.4,293.8,34.7,-33.7,36.1,35.83,2200.3203,61.41,3151.0203,13.460146518581803
A,USD,STD,INDL,C,AAL,31/12/10,1045,AMERICAN AIRLINES GROUP INC,02376R102,14,12.0,USA,6838.0,25088.0,4946.0,1883.0,9253.0,8780.0,29033.0,26717.0,-8362.0,738.0,-3945.0,0.0,18138.0,995.0,308.0,4032.0,-471.0,308.0,22170.0,-35.0,2729.0,1962.0,804.0,1241.0,333.45,2597.5755,7.79,8787.575499999999,28.531089285714284
A,USD,STD,INDL,C,AAL,31/12/13,1045,AMERICAN AIRLINES GROUP INC,02376R102,14,12.0,USA,14323.0,42278.0,10286.0,1446.0,15353.0,13806.0,45009.0,30392.0,-13328.0,1560.0,-2731.0,0.0,19084.0,1021.0,1935.0,7628.0,-1834.0,1935.0,26712.0,-346.0,4672.0,3114.0,3799.0,675.0,261.069,6591.9923,25.25,13104.992299999998,6.772605839793281
A,USD,STD,INDL,C,AAL,31/12/14,1045,AMERICAN AIRLINES GROUP INC,02376R102,14,12.0,USA,12112.0,43771.0,8077.0,1708.0,16196.0,13435.0,41750.0,35343.0,-13121.0,1771.0,2021.0,0.0,29511.0,1512.0,5073.0,13139.0,2882.0,5073.0,42650.0,330.0,6554.0,5311.0,-315.0,3080.0,697.475,37405.5843,53.63,47232.5843,9.310582357579342
A,USD,STD,INDL,C,AAL,31/12/15,1045,AMERICAN AIRLINES GROUP INC,02376R102,14,12.0,USA,9985.0,48415.0,6949.0,2231.0,18330.0,13605.0,42780.0,40654.0,-5962.0,1425.0,5635.0,0.0,25416.0,1607.0,7284.0,15574.0,7610.0,7284.0,40990.0,-2994.0,6683.0,6151.0,-1259.0,6249.0,624.622,26452.7417,42.35,40064.7417,5.500376400329489
A,USD,STD,INDL,C,AAL,31/12/16,1045,AMERICAN AIRLINES GROUP INC,02376R102,14,12.0,USA,10324.0,51274.0,6997.0,1855.0,22489.0,13872.0,47489.0,45353.0,-3443.0,1594.0,3785.0,0.0,25695.0,1826.0,6007.0,14485.0,2676.0,6007.0,40180.0,1623.0,6652.0,5731.0,-894.0,6524.0,507.294,23685.5569,46.69,41032.556899999996,6.830790228067254
A,USD,STD,INDL,C,AAL,31/12/17,1045,AMERICAN AIRLINES GROUP INC,02376R102,14,12.0,USA,9146.0,51396.0,5384.0,2554.0,22511.0,14964.0,47470.0,49802.0,-1793.0,1752.0,3926.0,0.0,28262.0,2017.0,4792.0,13945.0,1919.0,4792.0,42207.0,1165.0,7136.0,5971.0,-1145.0,4744.0,475.508,24740.6812,52.03,44421.6812,9.269966861435726
A,USD,STD,INDL,C,AAL,31/12/18,1045,AMERICAN AIRLINES GROUP INC,02376R102,14,12.0,USA,8637.0,60580.0,4914.0,4948.0,29081.0,18096.0,60749.0,60692.0,-5138.0,1706.0,-169.0,0.0,31365.0,2157.0,3449.0,13176.0,1412.0,3449.0,44541.0,472.0,7570.0,3745.0,-1672.0,3533.0,460.611,14790.2192,32.11,43905.2192,12.729840301536678
A,USD,STD,INDL,C,AAL,31/12/19,1045,AMERICAN AIRLINES GROUP INC,02376R102,14,12.0,USA,8206.0,59995.0,3984.0,4569.0,28875.0,18311.0,60113.0,62391.0,-4067.0,1750.0,-118.0,0.0,32027.0,2318.0,3706.0,13741.0,1686.0,3706.0,45768.0,570.0,7717.0,4268.0,-1568.0,3815.0,428.203,12280.862,28.68,41740.862,11.263049649217486
