(costat) Active/Inactive Status Marker,(curcd) ISO Currency Code,(datafmt) Data Format,(indfmt) Industry Format,(consol) Level of Consolidation - Company Annual Descriptor,(tic) Ticker Symbol,(datadate) Data Date,(gvkey) Global Company Key,(conm) Company Name,(cusip) CUSIP,(exchg) Stock Exchange Code,(fyr) Fiscal Year-end Month,(fic) Current ISO Country Code - Incorporation,(act) Current Assets - Total,(at) Assets - Total,(che) Cash and Short-Term Investments,(dlc) Debt in Current Liabilities - Total,(dltt) Long-Term Debt - Total,(lct) Current Liabilities - Total,(lt) Liabilities - Total,"(ppegt) Property, Plant and Equipment - Total (Gross)",(re) Retained Earnings,(rect) Receivables - Total,(seq) Stockholders Equity - Parent,(txp) Income Taxes Payable,(cogs) Cost of Goods Sold,(dp) Depreciation and Amortization,(ebit) Earnings Before Interest and Taxes,(gp) Gross Profit (Loss),(ni) Net Income (Loss),(oiadp) Operating Income After Depreciation,(sale) Sales/Turnover (Net),(txt) Income Taxes - Total,"(xsga) Selling, General and Administrative Expense",(capx) Capital Expenditures,(fincf) Financing Activities - Net Cash Flow,(oancf) Operating Activities - Net Cash Flow,(csho) Common Shares Outstanding,(mkvalt) Market Value - Total - Fiscal,(prcc_f) Price Close - Annual - Fiscal,EV,EV/EBIT,Quality Score
A,USD,STD,INDL,C,GSAT,31/12/24,175523,GLOBALSTAR INC,378973507,14,12.0,USA,447.571,1710.237,391.164,38.851,503.078,141.485,951.354,1733.596,-2114.694,29.452,358.883,0.0,78.847,92.586,-0.066,171.502,-63.164,-0.066,250.349,2.135,78.982,243.821,157.181,439.192,1896.372,3925.49,2.07,4076.254999999999,-61761.43939393938,-1.6813187653006378e-05
A,USD,STD,INDL,C,ATPC,30/06/19,34144,AGAPE ATP CORP,008389306,14,6.0,USA,3.87,4.73,2.858,0.0,0.0,0.15,0.15,0.0,-0.75,0.514,4.58,0.0,1.438,0.0,-0.132,0.108,-0.52,-0.132,1.546,0.0,0.24,0.0,-0.005,-0.667,376.276,3123.0908,8.3,3120.2327999999998,-23638.12727272727,-4.2265822050386756e-05
A,USD,STD,INDL,C,AMPH,31/12/19,20659,AMPHASTAR PHARMACEUTICLS INC,03209R103,14,12.0,USA,255.241,586.971,89.515,10.916,55.709,90.009,159.443,417.953,111.683,45.376,381.366,2.042,172.324,18.11,-0.039,150.033,48.939,-0.039,322.357,13.723,131.962,41.555,-3.783,41.762,46.577,898.4703,19.29,875.5803000000001,-22450.776923076926,-4.340711095291631e-05
A,USD,STD,INDL,C,ATPC,31/12/20,34144,AGAPE ATP CORP,008389306,14,12.0,USA,5.684,7.211,3.518,0.154,0.241,1.039,1.286,0.915,-0.553,0.211,5.925,0.0,0.719,0.057,-0.158,2.734,0.355,-0.158,3.453,0.161,2.835,0.005,-0.022,-0.558,376.452,2823.39,7.5,2820.267,-17849.791139240504,-5.59610964124687e-05
A,USD,STD,INDL,C,MRVL,31/01/25,137310,MARVELL TECHNOLOGY INC,573874104,14,1.0,USA,3120.3,20204.5,948.3,177.8,4165.3,2026.8,6777.5,2283.5,-1108.8,1028.4,13427.0,55.6,2003.0,1355.1,-8.5,3764.3,-885.0,-8.5,5767.3,-9.7,2417.7,284.6,-1383.0,1681.2,866.0,97736.76,112.86,101131.56,-11897.830588235294,-8.696830138424888e-05
A,USD,STD,INDL,C,FLGT,31/12/19,28012,FULGENT GENETICS INC,359664109,14,12.0,USA,37.079,88.756,28.269,0.42,2.256,3.723,5.979,16.597,-63.283,7.199,82.777,0.024,12.0,2.107,-0.027,20.528,-0.411,-0.027,32.528,0.043,18.448,1.319,28.775,5.517,21.483,277.1307,12.9,251.53769999999997,-9316.21111111111,-9.742695414113269e-05
A,USD,STD,INDL,C,TREE,31/12/21,180423,LENDINGTREE INC,52603B107,14,12.0,USA,374.379,1299.356,251.342,174.603,574.316,274.432,851.364,178.138,-571.794,106.758,447.992,0.0,57.297,60.648,-0.165,1041.202,69.115,-0.165,1098.499,11.298,980.719,35.065,-63.347,134.573,13.095,1605.447,122.6,2103.024,-12745.599999999999,-0.00010277511496798089
A,USD,STD,INDL,C,LBRDK,31/12/21,21227,LIBERTY BROADBAND CORP,530307305,14,12.0,USA,459.0,16968.0,206.0,79.0,3924.0,582.0,6626.0,1381.0,3912.0,206.0,10330.0,0.0,282.0,267.0,-3.0,706.0,732.0,-3.0,988.0,218.0,442.0,134.0,-5292.0,3.0,170.632,27487.7318,161.1,31284.7318,-10428.243933333333,-0.00010913959805152056
A,USD,STD,INDL,C,XYZ,31/12/20,26367,BLOCK INC,852234103,11,12.0,USA,7761.629,9869.55,3883.449,516.841,2976.586,4126.104,7187.981,918.529,-273.895,190.566,2681.569,0.0,6752.853,84.212,-11.333,2744.725,213.105,-11.333,9497.578,2.862,2671.846,138.402,2315.195,381.603,456.185,99284.1034,217.64,98894.08140000001,-8726.205011912116,-0.00011414717575019164
A,USD,STD,INDL,C,VNCE,31/01/22,19175,VINCE HOLDING CORP,92719W207,14,1.0,USA,115.372,337.227,1.056,25.325,183.236,91.517,281.447,165.012,-1084.856,29.948,55.78,0.0,170.469,6.3,-0.018,152.214,-12.704,-0.018,322.683,4.581,145.932,5.055,2.514,-0.221,11.986,107.874,9.0,315.379,-17521.05555555556,-0.0001668613382279326
