(costat) Active/Inactive Status Marker,(curcd) ISO Currency Code,(datafmt) Data Format,(indfmt) Industry Format,(consol) Level of Consolidation - Company Annual Descriptor,(tic) Ticker Symbol,(datadate) Data Date,(gvkey) Global Company Key,(conm) Company Name,(cusip) CUSIP,(exchg) Stock Exchange Code,(fyr) Fiscal Year-end Month,(fic) Current ISO Country Code - Incorporation,(act) Current Assets - Total,(at) Assets - Total,(che) Cash and Short-Term Investments,(dlc) Debt in Current Liabilities - Total,(dltt) Long-Term Debt - Total,(lct) Current Liabilities - Total,(lt) Liabilities - Total,"(ppegt) Property, Plant and Equipment - Total (Gross)",(re) Retained Earnings,(rect) Receivables - Total,(seq) Stockholders Equity - Parent,(txp) Income Taxes Payable,(cogs) Cost of Goods Sold,(dp) Depreciation and Amortization,(ebit) Earnings Before Interest and Taxes,(gp) Gross Profit (Loss),(ni) Net Income (Loss),(oiadp) Operating Income After Depreciation,(sale) Sales/Turnover (Net),(txt) Income Taxes - Total,"(xsga) Selling, General and Administrative Expense",(capx) Capital Expenditures,(fincf) Financing Activities - Net Cash Flow,(oancf) Operating Activities - Net Cash Flow,(csho) Common Shares Outstanding,(mkvalt) Market Value - Total - Fiscal,(prcc_f) Price Close - Annual - Fiscal,Enterprise Value,EV/EBIT
A,USD,STD,INDL,C,NHTC,31/12/20,60911,NATURAL HEALTH TRENDS CORP,63888P406,14,12.0,USA,99.741,105.942,92.367,1.163,2.775,21.506,38.245,6.359,7.486,0.0,67.697,1.481,16.99,0.41,0.669,45.081,0.843,0.669,62.071,0.647,44.002,0.211,-9.138,1.885,11.423,56.8865,4.98,-31.54250000000001,-47.14872944693574
A,USD,STD,INDL,C,GENC,30/09/12,7185,GENCOR INDUSTRIES INC,368678108,12,9.0,USA,102.09,110.312,84.736,0.0,0.0,5.878,6.852,26.744,92.459,1.206,103.46,0.0,50.077,1.075,0.393,13.105,4.472,0.393,63.182,2.38,11.637,0.871,0.0,2.517,9.518,70.4332,7.4,-14.302800000000005,-36.393893129771
A,USD,STD,INDL,C,ACTG,31/12/21,61004,ACACIA RESEARCH CORP,003881307,14,12.0,USA,730.682,798.856,707.471,182.183,2.027,200.19,353.628,6.788,-181.724,9.517,434.186,0.506,26.247,10.688,15.002,61.8,149.197,15.002,88.047,24.287,36.11,0.091,59.738,13.326,48.808,250.385,5.13,-272.87600000000003,-18.189308092254368
A,USD,STD,INDL,C,USIO,31/12/14,116209,USIO INC,917313108,14,12.0,USA,56.929,61.099,54.989,0.0,0.0,54.075,54.075,3.792,-50.071,1.037,7.024,0.125,9.217,0.041,2.245,4.178,3.838,2.245,13.395,-1.482,1.892,0.037,0.0,28.454,179.181,31.3567,0.175,-23.632299999999997,-10.526636971046768
A,USD,STD,INDL,C,AIFF,31/12/12,21663,FIREFLY NEUROSCIENCE INC,317970101,14,12.0,USA,3.555,3.604,2.623,0.0,0.0,1.456,1.456,0.331,-11.632,0.74,2.148,0.0,4.62,0.027,0.094,2.438,0.1,0.094,7.058,0.0,2.317,0.026,0.001,1.363,11.202,1.6803,0.15,-0.9427000000000003,-10.028723404255322
A,USD,STD,INDL,C,GDOT,31/12/23,184392,GREEN DOT CORP,39304D102,11,12.0,USA,1637.91,4817.122,720.361,64.369,2.687,3953.19,3957.772,447.831,483.317,110.141,859.35,6.262,814.301,82.971,13.678,649.683,6.722,13.678,1463.984,7.911,553.034,75.942,-264.019,97.519,52.816,522.8784,9.9,-130.4265999999999,-9.53550226641321
A,USD,STD,INDL,C,VNDA,31/12/22,166435,VANDA PHARMACEUTICALS INC,921659108,14,12.0,USA,519.292,634.247,466.859,2.328,8.813,91.436,107.049,21.392,-159.094,33.512,527.198,0.0,23.065,2.733,6.329,231.317,6.275,6.329,254.382,5.025,222.255,0.679,0.734,31.984,56.784,419.6338,7.39,-36.08420000000001,-5.701406225312057
A,USD,STD,INDL,C,RELL,31/05/11,9125,RICHARDSON ELECTRONICS LTD,763165107,14,5.0,USA,288.188,314.054,223.091,0.0,0.0,75.304,89.881,26.458,112.594,22.374,224.173,31.659,111.554,1.2,3.858,47.313,90.074,3.858,158.867,0.468,42.255,0.533,-24.521,2.14,17.761,202.8833,13.7,-20.207700000000017,-5.237869362363924
A,USD,STD,INDL,C,CLRO,31/12/12,18549,CLEARONE INC,18506U203,14,12.0,USA,79.287,91.939,55.509,0.0,0.0,22.82,25.271,13.638,26.229,8.388,66.668,14.782,17.172,1.917,4.348,29.245,26.647,4.348,46.417,15.908,22.98,0.574,0.108,43.924,9.163,36.7436,4.01,-18.7654,-4.315869365225391
A,USD,STD,INDL,C,CSPI,30/09/11,2573,CSP INC,126389105,14,9.0,USA,37.878,43.108,15.874,0.024,0.0,15.87,25.212,7.199,6.982,13.379,17.896,0.121,56.793,0.483,0.909,16.852,0.369,0.909,73.645,0.346,15.46,0.339,-0.596,1.543,3.417,11.9595,3.5,-3.890500000000001,-4.279977997799781
